--- Startup times for process: Primary (or UI client) ---

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines

000.000  000.000: --- NVIM STARTING ---
000.097  000.097: event init
000.150  000.052: early init
000.172  000.023: locale set
000.198  000.025: init first window
000.442  000.244: inits 1
000.451  000.009: window checked
000.453  000.002: parsing arguments
000.780  000.029  000.029: require('vim.shared')
000.838  000.023  000.023: require('vim.inspect')
000.873  000.028  000.028: require('vim._options')
000.874  000.092  000.041: require('vim._editor')
000.874  000.136  000.016: require('vim._init_packages')
000.875  000.285: init lua interpreter
000.906  000.031: expanding arguments
000.922  000.017: inits 2
001.126  000.204: init highlight
001.146  000.019: clear screen
001.289  000.022  000.022: require('vim.keymap')
001.778  000.075  000.075: sourcing nvim_exec2()
001.852  000.703  000.606: require('vim._defaults')
001.853  000.005: init default mappings & autocommands
002.388  000.031  000.031: sourcing /usr/share/nvim/runtime/ftplugin.vim
002.425  000.013  000.013: sourcing /usr/share/nvim/runtime/indent.vim
002.505  000.040  000.040: sourcing /usr/share/nvim/archlinux.lua
002.506  000.057  000.016: sourcing /etc/xdg/nvim/sysinit.vim
002.970  000.357  000.357: require('config.options')
003.162  000.191  000.191: require('config.keymaps')
003.193  000.030  000.030: require('config.autocmds')
003.262  000.068  000.068: require('config.bitwarden')
003.331  000.069  000.069: require('lazy')
003.376  000.039  000.039: require('ffi')
003.398  000.012  000.012: require('vim.fs')
003.456  000.057  000.057: require('vim.uri')
003.463  000.085  000.017: require('vim.loader')
003.536  000.064  000.064: require('lazy.stats')
003.624  000.075  000.075: require('lazy.core.util')
003.710  000.085  000.085: require('lazy.core.config')
003.829  000.055  000.055: require('lazy.core.handler')
004.134  000.088  000.088: require('lazy.pkg')
004.142  000.250  000.163: require('lazy.core.meta')
004.147  000.317  000.067: require('lazy.core.plugin')
004.154  000.443  000.071: require('lazy.core.loader')
004.557  000.027  000.027: require('lazy.async')
004.625  000.036  000.036: require('lazy.manage.process')
004.653  000.027  000.027: require('lazy.terminal')
004.655  000.096  000.033: require('lazy.manage.task')
004.657  000.150  000.027: require('lazy.manage.runner')
